,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Target
102,36.45,403.86,143.51,364807.82,0.0,90.0,2386.0,39.68,,,262.33
103,36.39,172.05,143.51,361082.54,0.0,98.0,2361.0,39.68,,,259.64
104,36.36,43.01,143.51,362821.29,0.0,93.0,2373.0,39.68,,,260.9
105,36.24,41.98,143.51,361981.19,0.0,94.0,2367.0,39.68,,,260.32
106,36.12,323.94,143.51,361141.08,0.0,91.0,2362.0,39.68,,,259.73
107,36.0,93.39,143.51,360300.98,0.0,97.0,2357.0,39.68,,,259.15
108,36.0,41.92,143.51,354505.71,0.0,100.0,2319.0,39.68,,,254.98
109,35.97,438.57,143.51,355619.55,0.0,98.0,2326.0,39.68,,,255.82
110,34.23,305.68,143.51,361920.91,0.0,99.0,2367.0,39.68,,,260.3
111,34.68,29.18,143.51,364830.57,0.0,91.0,2386.0,39.68,,,262.38
112,34.59,30.88,143.51,365494.35,0.0,92.0,2390.0,39.68,,,262.85
113,34.5,29.25,143.51,366158.13,0.0,97.0,2395.0,39.68,,,263.32
114,34.41,420.67,143.51,366821.91,0.0,94.0,2399.0,39.68,,,263.8
115,34.5,20.42,143.51,364692.64,0.0,100.0,2385.0,39.68,,,262.31
116,34.47,7.72,143.51,367835.52,0.0,95.0,2406.0,39.68,,,264.58
117,34.5,241.44,143.51,367374.28,0.0,90.0,2401.0,39.68,,,264.08
118,34.5,268.64,143.51,373525.23,0.0,100.0,2444.0,39.68,,,268.74
119,34.51,228.93,143.52,374154.78,0.0,100.0,2448.0,39.68,,,269.2
120,34.52,411.84,143.54,374784.32,0.0,93.0,2452.0,39.68,,,269.66
121,34.53,51.61,143.55,375413.87,0.0,94.0,2456.0,39.68,,,270.12
122,34.47,258.79,143.55,374577.71,0.0,91.0,2452.0,39.68,,,269.68
123,34.53,338.86,143.55,372504.6,0.0,96.0,2440.0,39.68,,,268.38
124,34.59,288.52,143.55,374151.18,0.0,93.0,2452.0,39.68,,,269.64
125,31.65,351.81,143.56,375931.66,0.0,99.0,2461.0,39.68,,,270.76
126,31.67,164.69,143.57,376253.32,0.0,97.0,2462.0,39.68,,,271.0
127,31.69,204.59,143.59,376574.99,0.0,95.0,2462.0,39.68,,,271.25
128,31.71,9.7,143.6,376896.65,0.0,90.0,2463.0,39.68,,,271.49
129,31.38,142.92,138.14,375129.95,0.0,96.0,2478.0,39.68,,,272.96
130,33.9,78.4,138.14,374160.67,0.0,94.0,2472.0,39.68,,,272.3
131,33.87,319.66,138.16,372765.77,0.0,93.0,2460.0,39.68,,,271.32
132,33.87,409.42,138.16,373377.55,0.0,96.0,2464.0,39.68,53.0,187.75,271.73
133,33.87,109.55,138.16,373789.78,0.0,97.0,2467.0,39.68,,,272.03
134,33.87,175.46,138.16,374202.01,0.0,94.0,2469.0,39.68,,,272.33
135,33.87,301.29,138.16,374614.24,0.0,100.0,2472.0,39.68,,,272.62
136,33.9,319.83,138.16,374491.13,0.0,99.0,2471.0,39.68,,,272.51
137,33.81,96.93,138.16,377718.12,0.0,96.0,2491.0,39.68,,,274.73
138,33.69,61.8,138.16,372876.14,0.0,92.0,2461.0,39.68,,,271.35
139,33.72,154.32,138.16,376895.87,0.0,95.0,2487.0,39.68,,,274.26
140,33.62,13.02,138.16,377044.11,0.0,94.0,2488.0,39.68,,,274.37
141,33.52,242.36,138.15,377192.36,0.0,93.0,2489.0,39.68,,,274.47
142,33.42,287.69,138.15,377340.6,0.0,98.0,2490.0,39.68,,,274.57
143,33.6,155.29,138.15,378502.02,0.0,91.0,2498.0,39.68,,,275.45
144,33.6,422.51,138.15,382379.79,0.0,95.0,2523.0,39.68,,,278.26
145,33.72,101.3,138.15,380671.72,0.0,97.0,2512.0,39.68,,,277.04
146,33.75,173.64,138.15,381710.42,0.0,92.0,2519.0,39.68,,,277.77
147,33.73,52.81,138.15,380857.53,0.0,94.0,2513.0,39.68,,,277.15
148,33.71,191.6,138.15,380004.65,0.0,99.0,2508.0,39.68,,,276.53
149,33.69,39.47,138.15,379151.76,0.0,93.0,2502.0,39.68,,,275.9
150,33.69,83.47,138.15,377450.45,0.0,91.0,2491.0,39.68,,,274.71
151,33.66,251.58,138.15,376385.75,0.0,93.0,2484.0,39.68,,,273.91
152,33.69,320.0,138.15,380223.35,0.0,91.0,2510.0,39.68,,,276.75
153,33.66,328.49,138.15,379335.32,0.0,90.0,2505.0,39.68,,,276.26
154,33.67,121.86,138.15,379238.08,0.0,97.0,2505.0,39.68,,,276.2
155,33.68,463.57,138.15,379140.84,0.0,97.0,2504.0,39.68,,,276.14
156,33.69,283.79,138.15,379043.6,0.0,100.0,2503.0,39.68,,,276.07
157,33.9,124.43,138.15,380513.38,0.0,94.0,2514.0,39.68,,,277.2
158,33.81,255.87,138.15,384226.31,0.0,97.0,2538.0,39.68,,,279.92
159,33.81,4.89,138.45,384226.31,0.0,98.0,2539.0,39.68,,,280.55
160,33.81,60.4,138.43,386002.5,0.0,99.0,2540.0,39.68,,,281.18
161,33.82,292.83,138.46,385612.76,0.0,98.0,2537.0,39.68,,,280.89
162,33.83,131.59,138.48,385223.02,0.0,100.0,2533.0,39.68,54.0,206.25,280.6
163,33.84,294.67,138.5,384833.28,0.0,96.0,2529.0,39.68,,,280.3
164,33.87,465.1,138.5,386182.16,0.0,98.0,2539.0,39.68,,,281.35
165,33.81,272.82,138.5,386871.81,0.0,94.0,2543.0,39.68,,,281.82
166,33.9,408.94,138.5,385774.74,0.0,95.0,2536.0,39.68,,,281.08
167,33.81,30.32,138.5,388805.17,0.0,90.0,2556.0,39.68,,,283.24
168,33.89,221.09,138.5,389129.74,0.0,97.0,2558.0,39.68,,,283.47
169,33.97,14.48,138.5,389454.3,0.0,94.0,2560.0,39.68,,,283.71
170,34.05,145.17,138.5,389778.87,0.0,92.0,2562.0,39.68,,,283.94
171,34.11,356.31,138.37,388314.55,0.0,94.0,2555.0,39.68,,,283.31
172,34.11,115.76,138.37,385020.87,0.0,96.0,2533.0,39.68,,,280.92
173,34.11,374.64,138.37,382271.63,0.0,94.0,2516.0,39.68,,,278.96
174,34.11,200.14,138.37,381187.56,0.0,95.0,2509.0,39.68,,,278.19
175,34.09,344.1,138.37,382424.73,0.0,92.0,2517.0,39.68,,,279.09
176,34.07,87.77,138.37,383661.89,0.0,99.0,2525.0,39.68,,,279.99
177,34.05,378.43,138.37,384899.06,0.0,98.0,2533.0,39.68,,,280.88
178,34.02,393.45,138.37,384966.92,0.0,96.0,2534.0,39.68,,,280.96
179,34.14,143.41,138.37,387961.34,0.0,99.0,2553.0,39.68,,,283.1
180,34.11,83.54,138.37,388808.16,0.0,97.0,2557.0,39.68,,,283.55
181,34.11,437.25,138.37,391736.41,0.0,91.0,2578.0,39.68,,,285.9
182,34.36,343.21,137.16,398586.11,0.0,91.0,2616.0,39.68,,,287.29
183,34.61,245.02,135.94,405435.81,0.0,95.0,2653.0,39.68,,,288.68
184,34.86,456.56,134.73,412285.51,0.0,91.0,2691.0,39.68,,,290.06
185,34.8,17.34,134.73,413214.88,0.0,95.0,2696.0,39.68,,,290.66
186,34.8,384.87,134.73,413214.88,0.0,98.0,2701.0,39.68,,,291.1
187,34.77,457.86,134.73,414509.03,0.0,97.0,2705.0,39.68,,,291.54
188,34.74,357.84,134.79,413661.17,0.0,94.0,2694.0,39.68,,,290.97
189,34.72,473.74,135.12,413480.38,0.0,91.0,2687.0,39.68,,,290.86
190,34.7,14.36,135.44,413299.6,0.0,94.0,2680.0,39.68,,,290.74
191,34.68,378.44,135.76,413118.81,0.0,95.0,2673.0,39.68,,,290.63
192,34.74,397.6,136.58,416106.73,0.0,98.0,2658.0,39.68,,,292.74
193,34.74,438.36,136.58,416106.73,207.0,95.0,2644.0,39.088,55.0,203.0,291.18
194,34.71,477.21,136.58,411714.29,0.0,93.0,2630.0,38.495,,,289.62
195,34.65,153.62,136.58,409768.58,0.0,99.0,2617.0,37.903,,,288.24
196,34.6,262.01,136.58,409436.34,0.0,95.0,2615.0,37.31,,,288.01
197,34.55,262.8,136.58,409104.11,0.0,96.0,2613.0,36.718,,,287.78
198,34.5,299.83,136.58,408771.87,0.0,96.0,2611.0,36.125,,,287.56
199,34.5,462.93,136.58,412586.85,0.0,99.0,2635.0,35.533,,,290.2
200,34.5,473.3,136.58,412828.65,0.0,98.0,2637.0,34.94,,,290.43
201,34.5,45.44,136.58,410549.62,0.0,92.0,2622.0,34.348,,,288.8
202,34.47,440.16,136.58,411477.04,0.0,98.0,2627.0,33.756,,,289.38
203,33.53,206.48,136.58,409869.16,0.0,91.0,2619.0,33.163,,,288.41
204,32.59,386.81,136.58,408261.27,0.0,98.0,2610.0,32.571,,,287.44
205,31.65,261.94,136.58,406653.39,0.0,91.0,2601.0,31.978,,,286.46
206,31.95,432.37,136.58,414374.74,0.0,93.0,2650.0,31.386,,,291.91
207,31.95,56.49,136.58,419167.97,0.0,100.0,2681.0,30.793,,,295.3
208,34.89,459.17,136.58,418859.22,0.0,97.0,2679.0,30.201,,,295.09
209,34.86,140.33,136.58,416561.47,0.0,97.0,2664.0,29.608,,,293.47
210,34.86,399.11,136.58,416561.47,0.0,95.0,2668.0,29.016,,,293.84
211,34.86,155.37,136.58,416561.47,0.0,100.0,2671.0,28.424,,,294.2
212,34.86,113.96,136.58,416561.47,0.0,90.0,2674.0,27.831,,,294.56
213,34.95,186.64,136.58,418547.61,0.0,97.0,2678.0,27.239,,,294.93
214,34.71,418.71,136.58,418382.12,0.0,96.0,2678.0,26.646,,,294.91
215,35.22,277.6,136.58,416670.15,0.0,91.0,2668.0,26.054,,,293.85
216,35.49,134.52,136.58,408135.65,0.0,93.0,2613.0,25.461,,,287.82
217,35.48,312.39,136.58,406706.26,0.0,98.0,2604.0,24.869,,,286.84
218,35.47,237.46,136.57,405276.86,0.0,100.0,2596.0,24.276,,,285.88
219,35.46,88.64,136.56,403847.47,0.0,91.0,2588.0,23.684,,,284.9
220,35.58,338.87,136.56,401464.7,0.0,94.0,2571.0,23.092,,,283.01
221,35.4,185.43,136.56,397756.45,0.0,91.0,2547.0,22.499,,,280.36
222,35.58,332.26,136.56,403768.43,0.0,93.0,2584.0,21.907,,,284.52
223,34.47,144.02,136.65,404501.5,0.0,92.0,2590.0,21.314,,,285.17
224,34.5,316.22,136.65,401639.16,0.0,93.0,2572.0,20.722,56.0,204.0,283.11
225,34.53,203.67,136.65,398776.82,0.0,98.0,2553.0,20.129,,,281.05
226,34.56,317.96,136.65,395914.48,0.0,93.0,2534.0,19.537,,,278.99
227,36.09,283.85,136.65,397979.01,0.0,91.0,2547.0,18.944,,,280.44
228,36.12,63.5,136.65,397935.98,0.0,99.0,2547.0,18.352,,,280.46
229,36.12,230.6,136.65,403066.95,0.0,91.0,2578.0,17.76,,,283.8
230,36.18,103.17,136.65,408994.69,0.0,92.0,2615.0,17.167,,,287.94
231,36.09,116.58,136.65,409402.63,0.0,97.0,2618.0,16.575,,,288.24
232,36.0,459.05,136.65,409810.57,0.0,95.0,2621.0,15.982,,,288.54
233,35.91,460.88,136.65,410218.51,0.0,94.0,2624.0,15.39,,,288.85
234,35.94,149.23,136.65,414938.29,0.0,92.0,2654.0,14.797,,,292.17
235,35.88,85.07,136.65,416280.54,0.0,96.0,2662.0,14.205,,,293.04
236,36.3,478.33,136.65,420047.68,0.0,99.0,2686.0,13.612,,,295.67
237,36.27,267.11,136.65,420876.95,0.0,95.0,2691.0,13.02,,,296.3
238,36.27,194.04,136.65,420876.95,0.0,91.0,2692.0,12.428,,,296.38
239,36.27,336.14,136.65,420876.95,0.0,92.0,2693.0,11.835,,,296.46
240,36.27,213.26,136.65,420876.95,0.0,100.0,2693.0,11.243,,,296.54
241,36.33,387.46,136.65,421128.76,0.0,94.0,2694.0,10.65,,,296.62
242,36.33,319.22,136.65,418991.43,0.0,92.0,2680.0,10.058,,,295.06
243,37.44,88.05,136.65,419921.84,0.0,96.0,2688.0,9.465,,,295.94
244,37.53,335.48,136.65,418325.96,0.0,96.0,2679.0,8.873,,,294.95
245,37.55,237.31,136.65,419033.42,0.0,93.0,2684.0,8.28,,,295.46
246,37.57,90.68,136.65,419740.88,0.0,93.0,2688.0,7.688,,,295.97
247,37.59,186.86,136.65,420448.34,0.0,96.0,2693.0,7.096,,,296.48
248,37.56,110.75,136.65,418041.26,0.0,95.0,2684.0,6.503,,,295.5
249,38.13,357.97,136.65,418513.29,0.0,94.0,2687.0,5.911,,,295.86
250,38.19,190.94,136.91,421414.5,0.0,95.0,2692.0,5.318,,,297.89
251,38.16,468.02,136.95,421097.04,0.0,94.0,2688.0,4.726,,,297.54
252,38.15,310.78,136.95,419851.81,0.0,90.0,2680.0,4.133,57.0,200.0,296.68
253,38.14,401.56,136.95,418606.59,0.0,90.0,2672.0,3.541,,,295.82
254,38.13,13.5,136.95,417361.36,0.0,98.0,2664.0,2.948,,,294.95
255,38.16,80.52,136.95,423888.79,0.0,93.0,2705.0,2.356,,,299.5
256,38.07,54.56,136.95,424413.99,0.0,94.0,2708.0,1.764,,,299.78
257,38.07,10.27,136.95,424409.05,0.0,98.0,2708.0,1.171,,,299.8
258,38.04,53.51,136.95,423004.53,0.0,97.0,2700.0,0.579,,,298.92
259,38.04,104.76,136.95,422861.1,0.0,92.0,2699.0,-0.014,,,298.8
260,38.04,269.52,136.95,422717.66,0.0,92.0,2698.0,-0.606,,,298.68
261,38.04,175.77,136.95,422574.23,0.0,94.0,2697.0,-1.199,,,298.56
262,38.01,280.65,136.95,421744.44,0.0,95.0,2692.0,-1.791,,,298.02
263,38.04,442.44,136.95,422752.2,0.0,91.0,2699.0,-2.384,,,298.75
264,37.11,307.56,136.95,416035.36,0.0,95.0,2656.0,-2.976,,,294.08
265,37.11,374.51,136.95,413270.78,0.0,92.0,2639.0,-3.568,,,292.1
266,37.13,105.13,136.95,415103.74,0.0,94.0,2650.0,-4.161,,,293.4
267,37.15,469.79,136.95,416936.69,0.0,95.0,2662.0,-4.753,,,294.68
268,37.17,217.87,136.95,418769.65,0.0,90.0,2673.0,-5.346,,,295.98
269,37.02,77.67,136.95,424330.01,0.0,93.0,2710.0,-5.938,,,299.98
270,37.05,199.12,136.95,422080.23,0.0,97.0,2696.0,-6.531,,,298.42
271,36.96,398.46,136.95,424583.25,0.0,96.0,2713.0,-7.123,,,300.36
272,36.51,249.12,136.95,422438.12,0.0,92.0,2701.0,-7.716,,,299.0
273,36.55,444.09,136.77,421971.03,0.0,98.0,2702.0,-8.308,,,298.65
274,36.59,276.03,136.58,421503.94,0.0,94.0,2703.0,-8.9,,,298.3
275,36.63,197.89,136.39,421036.85,0.0,97.0,2703.0,-9.493,,,297.96
276,36.54,336.77,136.39,424023.34,0.0,97.0,2723.0,-10.085,,,300.11
277,36.36,268.55,136.39,418594.54,0.0,97.0,2687.0,-10.678,,,296.17
278,36.3,364.52,136.39,416069.03,0.0,97.0,2671.0,-11.27,,,294.35
279,36.57,196.65,136.39,418058.03,0.0,97.0,2684.0,-11.863,,,295.74
280,36.56,359.49,136.94,419312.66,0.0,97.0,2682.0,-12.455,,,296.55
281,36.55,18.02,137.48,420567.29,0.0,99.0,2680.0,-13.048,,,297.37
282,36.54,24.62,138.03,421821.92,0.0,95.0,2678.0,-13.64,,,298.18
283,35.13,443.95,138.03,427413.09,0.0,91.0,2714.0,-12.741,58.0,210.25,302.1
284,36.12,213.87,138.03,427244.48,0.0,97.0,2713.0,-11.841,,,302.04
285,36.15,4.93,144.6,428683.71,0.0,93.0,2537.0,-10.942,,,300.3
286,36.18,302.64,144.6,419038.62,0.0,97.0,2480.0,-10.043,,,293.59
287,35.96,72.62,144.6,417997.58,0.0,91.0,2474.0,-9.143,,,292.85
288,35.74,264.92,144.61,416956.54,0.0,99.0,2468.0,-8.244,,,292.12
289,35.52,342.59,144.61,415915.5,0.0,92.0,2461.0,-7.345,,,291.38
290,35.88,339.79,144.61,419491.8,0.0,90.0,2482.0,-6.445,,,293.85
291,35.94,67.58,144.61,426299.25,0.0,99.0,2521.0,-5.546,,,298.44
292,35.85,376.39,144.61,415463.88,0.0,93.0,2458.0,-4.647,,,290.96
293,35.76,105.91,144.61,410539.09,0.0,95.0,2429.0,-3.747,,,287.56
294,35.5,342.6,144.61,411970.35,0.0,92.0,2438.0,-2.848,,,288.56
295,35.24,470.52,144.61,413401.6,0.0,100.0,2446.0,-1.949,,,289.56
296,34.98,154.5,144.61,414832.86,0.0,96.0,2455.0,-1.049,,,290.57
297,34.98,130.02,144.61,416764.79,0.0,96.0,2466.0,-0.15,,,291.9
298,35.31,224.05,144.61,421253.82,0.0,96.0,2492.0,0.749,,,294.96
299,34.14,287.38,144.61,419653.0,0.0,100.0,2484.0,1.649,,,294.06
300,34.14,232.53,144.61,419653.0,0.0,91.0,2487.0,2.548,,,294.38
301,34.23,225.86,144.61,420284.63,0.0,92.0,2489.0,3.447,,,294.71
302,34.32,78.46,144.61,420916.25,0.0,99.0,2492.0,4.347,,,295.03
303,34.41,168.67,144.61,421547.88,0.0,93.0,2495.0,5.246,,,295.35
304,34.47,151.1,144.61,423409.74,0.0,97.0,2505.0,6.145,,,296.6
305,34.35,341.99,144.61,417394.9,0.0,96.0,2483.0,7.045,,,293.92
306,33.9,318.59,144.61,421151.51,0.0,93.0,2509.0,7.944,,,297.04
307,34.02,246.66,144.62,415303.07,0.0,91.0,2474.0,8.844,,,292.98
308,33.99,378.8,144.64,416476.02,0.0,99.0,2481.0,9.743,,,293.89
309,33.96,274.28,144.65,417648.96,0.0,95.0,2488.0,10.642,,,294.8
310,33.93,461.36,144.67,418821.91,0.0,92.0,2496.0,11.542,,,295.71
311,33.75,233.5,144.67,421308.55,0.0,96.0,2514.0,12.441,,,297.9
312,33.57,474.76,144.81,422642.35,0.0,93.0,2519.0,13.34,,,298.8
313,33.78,81.0,144.81,422558.37,0.0,95.0,2518.0,14.24,59.0,204.75,298.74
314,33.93,82.09,144.81,421520.58,0.0,90.0,2513.0,15.139,,,298.06
315,34.16,326.3,144.81,422044.61,0.0,96.0,2516.0,16.038,,,298.46
316,34.39,281.01,144.81,422568.64,0.0,97.0,2519.0,16.938,,,298.86
317,34.62,269.71,144.81,423092.67,0.0,92.0,2522.0,17.837,,,299.25
318,34.47,161.86,144.81,417861.99,0.0,99.0,2493.0,18.736,,,295.72
319,34.14,417.13,144.81,417146.86,0.0,96.0,2489.0,19.636,,,295.25
320,34.17,3.29,144.37,418739.75,0.0,95.0,2492.0,20.535,,,295.42
321,34.17,342.8,144.37,419543.8,0.0,98.0,2496.0,21.434,,,295.92
322,34.19,405.53,144.38,421651.88,0.0,95.0,2509.0,22.334,,,297.38
323,34.21,220.14,144.38,423759.96,0.0,96.0,2521.0,23.233,,,298.84
324,34.23,72.3,144.39,425868.04,0.0,98.0,2533.0,24.132,,,300.3
325,34.2,349.24,144.39,426242.31,0.0,95.0,2535.0,25.032,,,300.55
326,34.11,365.59,144.39,423746.96,0.0,99.0,2521.0,25.931,,,298.8
327,33.9,240.37,144.39,420321.33,0.0,92.0,2501.0,26.83,,,296.42
